awardYear,category,name
2001,Economic Sciences,A. Michael Spence
1975,Physics,Aage N. Bohr
2004,Chemistry,Aaron Ciechanover
1982,Chemistry,Aaron Klug
1979,Physics,
2019,Economic Sciences,Abhijit Banerjee
2019,Peace,981
2009,Chemistry,Ada E. Yonath
2011,Physics,Adam G. Riess
1939,Chemistry,Adolf Butenandt
1905,Chemistry,164
1928,Chemistry,Adolf Windaus
1980,Peace,541
1999,Chemistry,Ahmed Zewail
2010,Chemistry,Akira Suzuki
2019,Chemistry,Akira Yoshino
2007,Peace,819
2000,Chemistry,Alan Heeger
1963,Physiology or Medicine,Alan Hodgkin
2000,Chemistry,Alan MacDiarmid
1907,Physics,Albert A. Michelson
1957,Literature,628
1974,Physiology or Medicine,Albert Claude
1921,Physics,26
2007,Physics,Albert Fert
1902,Peace,Albert Gobat
1960,Peace,Albert Luthuli
1952,Peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1952
1937,Physiology or Medicine,332
1910,Physiology or Medicine,304
1964,Physics,83
1970,Literature,Alexandr Solzhenitsyn
2003,Physics,Alexei Abrikosov
1912,Physiology or Medicine,Alexis Carrel
1982,Peace,Alfonso García Robles
1969,Physiology or Medicine,Alfred D. Hershey
1911,Peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1911
1994,Physiology or Medicine,Alfred G. Gilman
1966,Physics,Alfred Kastler
1913,Chemistry,Alfred Werner
2013,Literature,Alice Munro
1979,Physiology or Medicine,Allan M. Cormack
1911,Physiology or Medicine,Allvar Gullstrand
1907,Physiology or Medicine,Alphonse Laveran
1982,Peace,Alva Myrdal
2012,Economic Sciences,Alvin E. Roth
1998,Economic Sciences,Amartya Sen
1947,Peace,509
1977,Peace,Amnesty International
1921,Literature, and a true Gallic temperament"
1956,Physiology or Medicine,André F. Cournand
2010,Physics,Andre Geim
1947,Literature,618
1965,Physiology or Medicine,André Lwoff
1975,Peace,534
1963,Physiology or Medicine,Andrew Huxley
1977,Physiology or Medicine,Andrew V. Schally
2006,Physiology or Medicine,Andrew Z. Fire
2015,Economic Sciences,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2015
2003,Physics,Anthony J. Leggett
1974,Physics,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1974
1978,Peace,Anwar al-Sadat
1952,Chemistry,Archer J.P. Martin
1922,Physiology or Medicine,Archibald V. Hill
2013,Chemistry,Arieh Warshel
1926,Peace,Aristide Briand
1948,Chemistry,208
1978,Physics,Arno Penzias
2018,Physics,Arthur Ashkin
2015,Physics,920
1927,Physics,Arthur H. Compton
1929,Chemistry,Arthur Harden
1934,Peace,Arthur Henderson
1959,Physiology or Medicine,Arthur Kornberg
1981,Physics,Arthur L. Schawlow
1945,Chemistry,203
2000,Physiology or Medicine,Arvid Carlsson
1920,Physiology or Medicine,August Krogh
1909,Peace,Auguste Beernaert
1991,Peace,Aung San Suu Kyi 
2004,Chemistry,Avram Hershko
2015,Chemistry,Aziz Sancar
2009,Peace,Barack H. Obama
1983,Physiology or Medicine,Barbara McClintock
2017,Physics,Barry C. Barish
2005,Physiology or Medicine,Barry J. Marshall
2001,Chemistry,Barry Sharpless
1976,Physiology or Medicine,Baruch S. Blumberg
1980,Physiology or Medicine,Baruj Benacerraf
1975,Physics,Ben R. Mottelson
2016,Economic Sciences,Bengt Holmström
1982,Physiology or Medicine,Bengt I. Samuelsson
2016,Chemistry,Bernard L. Feringa
1947,Physiology or Medicine,Bernardo Houssay
1991,Physiology or Medicine,Bert Sakmann
1905,Peace,Bertha von Suttner
1977,Economic Sciences,Bertil Ohlin
1994,Physics,Bertram N. Brockhouse
1950,Literature,Bertrand Russell
1976,Peace,Betty Williams
1903,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1903
2016,Literature,Bob Dylan
1958,Literature,Boris Pasternak
1973,Physics,99
2012,Chemistry,Brian Kobilka
2011,Physics,Brian P. Schmidt
2011,Physiology or Medicine,Bruce A. Beutler
1984,Chemistry,Bruce Merrifield
1976,Physics,Burton Richter
1927,Physics,C.T.R. Wilson
1906,Physiology or Medicine,Camillo Golgi
1989,Literature,666
1931,Chemistry,Carl Bosch
1947,Physiology or Medicine,Carl Cori
1936,Physics,Carl D. Anderson
1919,Literature,588
1935,Peace,Carl von Ossietzky
2001,Physics,740
1984,Physics,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1984
1996,Peace,Carlos Filipe Ximenes Belo
1936,Peace,501
2009,Physiology or Medicine,Carol W. Greider
1950,Physics,Cecil Powell
1984,Physiology or Medicine,César Milstein
1966,Physiology or Medicine,Charles B. Huggins
1920,Physics,Charles Edouard Guillaume
1925,Peace,Charles G. Dawes
1917,Physics,Charles Glover Barkla
1964,Physics,81
1987,Chemistry,Charles J. Pedersen
2009,Physics,Charles K. Kao
1928,Physiology or Medicine,Charles Nicolle
1913,Physiology or Medicine,Charles Richet
1957,Physics,Chen Ning Yang
1929,Physiology or Medicine,Christiaan Eijkman
1972,Chemistry,241
1974,Physiology or Medicine,Christian de Duve
1921,Peace,Christian Lange
1995,Physiology or Medicine,Christiane Nüsslein-Volhard
2010,Economic Sciences,Christopher A. Pissarides
2011,Economic Sciences,Christopher A. Sims
1997,Physics,Claude Cohen-Tannoudji
1985,Literature,Claude Simon
1994,Physics,Clifford G. Shull
1937,Physics,Clinton Davisson
2003,Economic Sciences,Clive W.J. Granger
1945,Peace,Cordell Hull
1938,Physiology or Medicine,Corneille Heymans
2006,Physiology or Medicine,Craig C. Mello
